calling_number,called_number,call_duration_seconds,call_timestamp,cell_id_tower
+919876543210,+918765432109,120,2026-01-14 19:05:00,TOWER_IND_01
+919876543210,+917654321098,60,2026-01-14 19:30:00,TOWER_IND_02
+918765432109,+919876543210,30,2026-01-14 20:15:00,TOWER_BPL_03
+917654321098,+918765432109,45,2026-01-14 21:00:00,TOWER_IND_04
+919876543210,+918765432109,180,2026-01-15 23:50:00,TOWER_VIP_05
+918765432109,+917654321098,90,2026-01-15 23:55:00,TOWER_VIP_05
+917654321098,+919988776655,20,2026-01-16 08:00:00,TOWER_NNB_06
+919876543210,+918765432109,45,2026-01-16 09:30:00,TOWER_MG_07
+918765432109,+919876543210,60,2026-01-16 10:00:00,TOWER_PCL_08
+917654321098,+918765432109,30,2026-01-16 11:15:00,TOWER_NNB_06
