calling_number,called_number,call_duration_seconds,call_timestamp,cell_id_tower,notes
+919876543210,+918765432109,120,2026-01-17 19:05:00,TOWER_IND_01,"Rajesh calls Priya - discuss shipment details"
+919876543210,+917654321098,60,2026-01-17 19:30:00,TOWER_IND_02,"Rajesh calls Vikram - confirm readiness"
+918765432109,+919876543210,30,2026-01-17 20:15:00,TOWER_BPL_03,"Priya calls Rajesh - payment processing"
+917654321098,+918765432109,45,2026-01-17 21:00:00,TOWER_IND_04,"Vikram calls Priya - payment confirmed"
+919876543210,+918765432109,180,2026-01-18 23:50:00,TOWER_VIP_05,"Rajesh calls Priya - meeting at 789 VIP Road"
+918765432109,+917654321098,90,2026-01-18 23:55:00,TOWER_VIP_05,"Priya calls Vikram - confirm delivery instructions"
+917654321098,+919988776655,20,2026-01-19 08:00:00,TOWER_NNB_06,"Vikram calls burner - check drop location"
+919988776655,+919876543210,15,2026-01-19 08:05:00,TOWER_NNB_06,"Burner calls Rajesh - RED HERRING (wrong number)"
+919876543210,+919988776655,25,2026-01-19 09:30:00,TOWER_MG_07,"Rajesh calls burner - RED HERRING (wrong number)"
+919876543210,+918765432109,45,2026-01-19 09:30:00,TOWER_MG_07,"Rajesh calls Priya - post-meeting follow-up"
+918765432109,+919876543210,60,2026-01-19 10:00:00,TOWER_PCL_08,"Priya calls Rajesh - discuss next shipment"
+917654321098,+918765432109,30,2026-01-19 11:15:00,TOWER_NNB_06,"Vikram calls Priya - delivery completed"
+919876543210,+919123456789,20,2026-01-20 09:30:00,TOWER_MG_07,"RED HERRING: Rajesh calls Sameer Khan (wrong number - Case 2)"
+919123456789,+919876543210,15,2026-01-20 09:35:00,TOWER_PCL_08,"RED HERRING: Sameer Khan calls Rajesh (wrong number)"
+919876543210,+919123499999,10,2026-01-20 14:30:00,TOWER_MG_07,"RED HERRING: Rajesh calls Neha Gupta (wrong number - Case 2)"
+919123499999,+919876543210,10,2026-01-20 14:35:00,TOWER_PCL_08,"RED HERRING: Neha Gupta calls Rajesh (wrong number)"
+919876543210,+919123411111,10,2026-01-20 16:00:00,TOWER_MG_07,"RED HERRING: Rajesh calls Arvind Joshi (wrong number - Case 2)"
+919123411111,+919876543210,10,2026-01-20 16:05:00,TOWER_PCL_08,"RED HERRING: Arvind Joshi calls Rajesh (wrong number)"
+919876543210,+919123422222,10,2026-01-20 16:30:00,TOWER_MG_07,"RED HERRING: Rajesh calls Kavita Reddy (wrong number - Case 2)"
+919123422222,+919876543210,10,2026-01-20 16:35:00,TOWER_PCL_08,"RED HERRING: Kavita Reddy calls Rajesh (wrong number)"
+919876543210,+918765432109,120,2026-01-20 19:05:00,TOWER_IND_01,"Rajesh calls Priya - discuss shipment details"
+919876543210,+917654321098,60,2026-01-20 19:30:00,TOWER_IND_02,"Rajesh calls Vikram - confirm readiness"
+918765432109,+919876543210,30,2026-01-20 20:15:00,TOWER_BPL_03,"Priya calls Rajesh - payment processing"
+917654321098,+918765432109,45,2026-01-20 21:00:00,TOWER_IND_04,"Vikram calls Priya - payment confirmed"
+919876543210,+918765432109,180,2026-01-21 23:50:00,TOWER_VIP_05,"Rajesh calls Priya - meeting at 789 VIP Road"
+918765432109,+917654321098,90,2026-01-21 23:55:00,TOWER_VIP_05,"Priya calls Vikram - confirm delivery instructions"
+917654321098,+919988776655,20,2026-01-22 08:00:00,TOWER_NNB_06,"Vikram calls burner - check drop location"
+919988776655,+919876543210,15,2026-01-22 08:05:00,TOWER_NNB_06,"Burner calls Rajesh - RED HERRING (wrong number)"
+919876543210,+919988776655,25,2026-01-22 09:30:00,TOWER_MG_07,"Rajesh calls burner - RED HERRING (wrong number)"
+919876543210,+918765432109,45,2026-01-22 09:30:00,TOWER_MG_07,"Rajesh calls Priya - post-meeting follow-up"
+918765432109,+919876543210,60,2026-01-22 10:00:00,TOWER_PCL_08,"Priya calls Rajesh - discuss next shipment"
+917654321098,+918765432109,30,2026-01-22 11:15:00,TOWER_NNB_06,"Vikram calls Priya - delivery completed"
